Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
23,tt10954984,2022-07-24,2022-11-16,,Nope,https://www.imdb.com/title/tt10954984/,movie,6.8,130,2022,"Horror, Mystery, Sci-Fi, Thriller",249499,2022-07-18,Jordan Peele
24,tt8296030,2022-03-30,2022-03-30,,You Won't Be Alone,https://www.imdb.com/title/tt8296030/,movie,6.4,108,2022,"Drama, Fantasy, Horror",10087,2022-01-22,Goran Stolevski
25,tt12004038,2022-06-07,2022-06-07,,Watcher,https://www.imdb.com/title/tt12004038/,movie,6.3,96,2022,"Drama, Horror, Thriller",37903,2022-01-21,Chloe Okuno
26,tt12519030,2022-04-21,2022-04-21,,Pahanhautoja,https://www.imdb.com/title/tt12519030/,movie,6.2,91,2022,"Drama, Fantasy, Horror",13987,2022-01-22,Hanna Bergholm
27,tt11866324,2022-09-18,2022-09-18,,Prey,https://www.imdb.com/title/tt11866324/,movie,7.1,100,2022,"Action, Adventure, Drama, Horror, Sci-Fi, Thriller",217596,2022-07-21,Dan Trachtenberg
28,tt3097396,2022-09-06,2022-09-06,,What Josiah Saw,https://www.imdb.com/title/tt3097396/,movie,6.2,120,2021,"Horror, Thriller",3850,2021-08-13,Vincent Grashaw
29,tt7144666,2022-07-13,2022-07-13,,The Black Phone,https://www.imdb.com/title/tt7144666/,movie,6.9,103,2021,"Horror, Mystery, Thriller",180731,2021-09-25,Scott Derrickson
30,tt4028464,2022-05-13,2022-05-13,,De uskyldige,https://www.imdb.com/title/tt4028464/,movie,7.0,117,2021,"Drama, Fantasy, Horror, Mystery, Thriller",22801,2021-07-11,Eskil Vogt
31,tt9907782,2022-02-21,2022-02-21,,Eight for Silver,https://www.imdb.com/title/tt9907782/,movie,6.2,111,2021,"Fantasy, Horror, Mystery",14866,2021-01-30,Sean Ellis
32,tt3811906,2021-09-02,2021-09-02,,Malignant,https://www.imdb.com/title/tt3811906/,movie,6.2,111,2021,"Crime, Horror, Mystery",104232,2021-09-01,James Wan
33,tt10944760,2021-09-02,2021-09-02,,Titane,https://www.imdb.com/title/tt10944760/,movie,6.5,108,2021,"Drama, Horror, Sci-Fi, Thriller",53331,2021-07-13,Julia Ducournau
34,tt9639470,2021-10-24,2021-10-24,,Last Night in Soho,https://www.imdb.com/title/tt9639470/,movie,7.0,116,2021,"Drama, Horror, Mystery, Thriller",166248,2021-09-04,Edgar Wright
35,tt7069210,2021-05-29,2021-05-29,,The Conjuring: The Devil Made Me Do It,https://www.imdb.com/title/tt7069210/,movie,6.3,112,2021,"Horror, Mystery, Thriller",133785,2021-05-26,Michael Chaves
36,tt9812474,2021-10-09,2021-10-09,,Dýrið,https://www.imdb.com/title/tt9812474/,movie,6.3,106,2021,"Drama, Fantasy, Horror",35405,2021-07-13,Valdimar Jóhannsson
37,tt10406596,2022-09-18,2022-09-18,,You Are Not My Mother,https://www.imdb.com/title/tt10406596/,movie,5.8,93,2021,"Drama, Horror",5404,2021-09-13,Kate Dolan
